GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
apirest-libreria,com.company.library.backend.model,Libro,28,3,0,0,12,1,8,1,8,1
apirest-libreria,com.company.library.backend.model,Categoria,6,32,0,0,3,14,2,7,2,7
apirest-libreria,com.company.library.backend.model,Prestamo,35,3,0,0,15,1,10,1,10,1
apirest-libreria,com.company.library.backend.service,LibroServiceImpl,344,7,8,0,81,2,9,2,5,2
apirest-libreria,com.company.library.backend.service,PrestamoServiceImpl,322,7,22,0,78,2,18,2,6,2
apirest-libreria,com.company.library.backend.service,CategoriaServiceImpl,119,219,4,4,28,53,4,7,0,7
apirest-libreria,com.company.library.backend.response,PrestamoResponse,10,0,0,0,4,0,3,0,3,0
apirest-libreria,com.company.library.backend.response,CategoriaResponseRest,0,15,0,0,0,5,0,3,0,3
apirest-libreria,com.company.library.backend.response,LibroResponseRest,15,0,0,0,5,0,3,0,3,0
apirest-libreria,com.company.library.backend.response,LibroResponse,10,0,0,0,4,0,3,0,3,0
apirest-libreria,com.company.library.backend.response,CategoriaResponse,0,10,0,0,0,4,0,3,0,3
apirest-libreria,com.company.library.backend.response,ResponseRest,0,36,0,0,0,9,0,3,0,3
apirest-libreria,com.company.library.backend.response,PrestamoResponseRest,15,0,0,0,5,0,3,0,3,0
apirest-libreria,com.company.library.backend.controller,PrestamoRestController,27,3,0,0,8,1,4,1,4,1
apirest-libreria,com.company.library.backend.controller,LibroRestController,35,3,0,0,10,1,5,1,5,1
apirest-libreria,com.company.library.backend.controller,CategoriaRestController,0,38,0,0,0,11,0,6,0,6
apirest-libreria,com.company.library.backend,ApirestLibreriaApplication,5,3,0,0,2,1,1,1,1,1
